H,S,V,class
12,143,91,branco
11,138,102,branco
12,143,107,branco
11,139,112,branco
12,141,114,branco
8,147,80,branco
8,148,79,branco
7,148,76,branco
10,181,93,branco
11,119,101,branco
12,115,102,branco
12,116,86,branco
10,114,94,branco
11,138,87,branco
11,120,100,branco
12,140,93,branco
12,143,102,branco
11,138,107,branco
11,136,114,branco
12,140,115,branco
8,145,81,branco
6,146,75,branco
7,150,75,branco
11,146,91,branco
15,114,96,branco
12,108,92,branco
12,117,96,branco
12,130,86,branco
11,148,81,branco
11,134,110,branco
12,134,114,branco
11,135,115,branco
11,140,111,branco
12,137,117,branco
9,160,83,branco
9,157,78,branco
11,187,90,branco
10,148,105,branco
12,144,90,branco
12,110,107,branco
15,116,99,branco
12,100,99,branco
11,124,97,branco
12,122,107,branco
11,126,111,branco
12,133,109,branco
12,135,113,branco
12,136,118,branco
11,156,118,branco
8,150,78,branco
15,115,100,branco
12,93,107,branco
10,104,103,branco
12,123,106,branco
12,114,114,branco
12,131,111,branco
11,137,108,branco
12,135,119,branco
11,163,91,branco
11,166,89,branco
11,145,104,branco
12,114,103,branco
14,121,99,branco
12,89,112,branco
10,100,107,branco
12,121,93,branco
11,150,80,branco
11,116,121,branco
12,130,112,branco
11,140,106,branco
12,144,106,branco
12,134,120,branco
10,141,103,branco
12,116,101,branco
14,124,97,branco
12,86,115,branco
10,96,112,branco
12,118,95,branco
12,153,100,branco
13,155,112,branco
13,153,113,branco
12,154,114,branco
12,168,91,branco
12,176,87,branco
11,178,83,branco
11,180,82,branco
11,171,82,branco
8,141,83,branco
11,134,99,branco
12,125,94,branco
14,125,96,branco
11,123,114,branco
12,150,102,branco
13,156,111,branco
12,174,88,branco
11,176,84,branco
11,169,83,branco
8,143,82,branco
10,147,106,branco
11,126,105,branco
10,95,113,branco
12,137,82,branco
12,146,105,branco
13,158,110,branco
12,166,92,branco
11,174,85,branco
11,167,84,branco
11,130,106,branco
11,127,104,branco
13,130,94,branco
12,86,116,branco
10,93,115,branco
11,146,82,branco
11,136,109,branco
12,170,90,branco
11,170,87,branco
11,165,85,branco
11,158,87,branco
10,137,104,branco
11,129,107,branco
